threshold,recall,precision
1.0,0.029465930018416207,1.0
0.999999,0.03867403314917127,1.0
0.999998,0.040515653775322284,1.0
0.999997,0.0423572744014733,1.0
0.999996,0.04604051565377532,1.0
0.999995,0.04788213627992634,1.0
0.999994,0.05156537753222836,1.0
0.999993,0.055248618784530384,1.0
0.999992,0.06261510128913444,1.0
0.999991,0.06445672191528545,1.0
0.99999,0.06998158379373849,1.0
0.999989,0.0718232044198895,1.0
0.999986,0.07366482504604052,1.0
0.999985,0.07550644567219153,1.0
0.999984,0.07918968692449356,1.0
0.999981,0.08287292817679558,1.0
0.99998,0.0865561694290976,1.0
0.999976,0.08839779005524862,1.0
0.999973,0.09208103130755065,1.0
0.999972,0.09392265193370165,1.0
0.999968,0.09576427255985268,1.0
0.999966,0.09760589318600368,1.0
0.999965,0.09944751381215469,1.0
0.999963,0.10128913443830571,1.0
0.999959,0.10313075506445672,1.0
0.999956,0.10497237569060773,1.0
0.999954,0.10681399631675875,1.0
0.999948,0.10865561694290976,1.0
0.999944,0.11049723756906077,1.0
0.999938,0.1141804788213628,1.0
0.999937,0.11602209944751381,1.0
0.999936,0.11786372007366483,1.0
0.999934,0.12154696132596685,1.0
0.999932,0.12338858195211787,1.0
0.99993,0.1252302025782689,1.0
0.999929,0.1270718232044199,1.0
0.999927,0.1289134438305709,1.0
0.999922,0.13075506445672191,1.0
0.999912,0.13259668508287292,1.0
0.999906,0.13443830570902393,1.0
0.999902,0.13627992633517497,1.0
0.999899,0.13812154696132597,1.0
0.999886,0.13996316758747698,1.0
0.999864,0.141804788213628,1.0
0.999858,0.143646408839779,1.0
0.999839,0.14548802946593,1.0
0.999831,0.14732965009208104,1.0
0.999823,0.14917127071823205,1.0
0.999812,0.15101289134438306,1.0
0.999806,0.15285451197053407,1.0
0.999804,0.15469613259668508,1.0
0.999783,0.15653775322283608,1.0
0.999772,0.15837937384898712,1.0
0.999769,0.16022099447513813,1.0
0.999766,0.16206261510128914,1.0
0.999757,0.16390423572744015,1.0
0.999753,0.16574585635359115,1.0
0.999743,0.16758747697974216,1.0
0.999715,0.1694290976058932,1.0
0.999709,0.1712707182320442,1.0
0.999675,0.1731123388581952,1.0
0.999659,0.17495395948434622,1.0
0.999624,0.17679558011049723,1.0
0.999609,0.17863720073664824,1.0
0.999606,0.18047882136279927,1.0
0.999591,0.18232044198895028,1.0
0.999572,0.1841620626151013,1.0
0.99955,0.1860036832412523,1.0
0.999506,0.1878453038674033,1.0
0.999498,0.18968692449355432,1.0
0.999449,0.19152854511970535,1.0
0.999433,0.19337016574585636,1.0
0.999416,0.19521178637200737,1.0
0.999371,0.19705340699815838,1.0
0.999326,0.19889502762430938,1.0
0.999253,0.2007366482504604,1.0
0.99922,0.20257826887661143,1.0
0.999217,0.20441988950276244,1.0
0.999112,0.20626151012891344,1.0
0.999097,0.20810313075506445,1.0
0.999093,0.20994475138121546,1.0
0.999065,0.21178637200736647,1.0
0.999056,0.2136279926335175,1.0
0.999014,0.2154696132596685,1.0
0.999007,0.21915285451197053,1.0
0.999003,0.22099447513812154,1.0
0.999001,0.22283609576427257,1.0
0.998928,0.22467771639042358,1.0
0.998851,0.2265193370165746,1.0
0.998789,0.2283609576427256,1.0
0.998739,0.2302025782688766,1.0
0.998696,0.23204419889502761,1.0
0.998608,0.23388581952117865,1.0
0.998536,0.23572744014732966,1.0
0.998519,0.23756906077348067,1.0
0.998495,0.23941068139963168,1.0
0.998369,0.24125230202578268,1.0
0.998353,0.2430939226519337,1.0
0.998306,0.24493554327808473,1.0
0.998285,0.24677716390423574,1.0
0.998278,0.24861878453038674,1.0
0.99827,0.2504604051565378,1.0
0.99826,0.2523020257826888,1.0
0.998237,0.2541436464088398,1.0
0.998207,0.2559852670349908,1.0
0.998196,0.2578268876611418,1.0
0.998162,0.2596685082872928,1.0
0.998057,0.26151012891344383,1.0
0.998019,0.26335174953959484,1.0
0.997999,0.26519337016574585,1.0
0.997962,0.26703499079189685,1.0
0.997888,0.26887661141804786,1.0
0.997864,0.27071823204419887,1.0
0.997829,0.27255985267034993,1.0
0.997673,0.27440147329650094,1.0
0.997666,0.27624309392265195,1.0
0.997652,0.27808471454880296,1.0
0.997633,0.27992633517495397,1.0
0.997626,0.281767955801105,1.0
0.997604,0.283609576427256,1.0
0.997473,0.285451197053407,1.0
0.997435,0.287292817679558,1.0
0.997395,0.289134438305709,1.0
0.996861,0.29097605893186,1.0
0.99681,0.292817679558011,1.0
0.996707,0.2946593001841621,1.0
0.996516,0.2965009208103131,1.0
0.996512,0.2983425414364641,1.0
0.996421,0.3001841620626151,1.0
0.996207,0.3020257826887661,1.0
0.995938,0.30386740331491713,1.0
0.99592,0.30570902394106814,1.0
0.995814,0.30755064456721914,1.0
0.995776,0.30939226519337015,1.0
0.995772,0.31123388581952116,1.0
0.995727,0.31307550644567217,1.0
0.995673,0.3149171270718232,1.0
0.995656,0.31675874769797424,1.0
0.995177,0.31860036832412525,1.0
0.995141,0.32044198895027626,1.0
0.995064,0.32228360957642727,1.0
0.994981,0.3241252302025783,1.0
0.99484,0.3259668508287293,1.0
0.994727,0.3278084714548803,1.0
0.994508,0.3296500920810313,1.0
0.99448,0.3314917127071823,1.0
0.994435,0.3333333333333333,1.0
0.994132,0.3351749539594843,1.0
0.994083,0.3370165745856354,1.0
0.993924,0.3388581952117864,1.0
0.993854,0.3406998158379374,1.0
0.993609,0.3425414364640884,1.0
0.99342,0.3443830570902394,1.0
0.99317,0.3462246777163904,1.0
0.993165,0.34806629834254144,1.0
0.992793,0.34990791896869244,1.0
0.992653,0.35174953959484345,1.0
0.992005,0.35359116022099446,1.0
0.991528,0.35543278084714547,1.0
0.991122,0.3572744014732965,1.0
0.990714,0.35911602209944754,1.0
0.990173,0.36095764272559855,1.0
0.989952,0.36279926335174956,1.0
0.98991,0.36464088397790057,1.0
0.989762,0.3664825046040516,1.0
0.989271,0.3683241252302026,1.0
0.989046,0.3701657458563536,1.0
0.988961,0.3720073664825046,1.0
0.988876,0.3738489871086556,1.0
0.988722,0.3756906077348066,1.0
0.988662,0.3775322283609576,1.0
0.988307,0.37937384898710863,1.0
0.988258,0.3812154696132597,1.0
0.988081,0.3830570902394107,1.0
0.987399,0.3848987108655617,1.0
0.987167,0.3867403314917127,1.0
0.986899,0.3885819521178637,1.0
0.986897,0.39042357274401474,1.0
0.986812,0.39226519337016574,1.0
0.986797,0.39410681399631675,1.0
0.986656,0.39594843462246776,1.0
0.98567,0.39779005524861877,1.0
0.985475,0.3996316758747698,1.0
0.984114,0.4014732965009208,1.0
0.984013,0.40331491712707185,1.0
0.983702,0.40515653775322286,1.0
0.98365,0.40699815837937386,1.0
0.983307,0.4088397790055249,1.0
0.983237,0.4106813996316759,1.0
0.983059,0.4125230202578269,1.0
0.98276,0.4143646408839779,1.0
0.982112,0.4162062615101289,1.0
0.981648,0.4180478821362799,1.0
0.981208,0.4198895027624309,1.0
0.980971,0.42173112338858193,1.0
0.980751,0.42357274401473294,1.0
0.980675,0.425414364640884,1.0
0.980547,0.427255985267035,1.0
0.979552,0.429097605893186,1.0
0.978385,0.430939226519337,1.0
0.977439,0.43278084714548803,1.0
0.977259,0.43462246777163904,1.0
0.977258,0.43646408839779005,1.0
0.977068,0.43830570902394106,1.0
0.976771,0.44014732965009207,1.0
0.976717,0.4419889502762431,1.0
0.976252,0.4438305709023941,1.0
0.976222,0.44567219152854515,1.0
0.97609,0.44751381215469616,1.0
0.975852,0.44935543278084716,1.0
0.975641,0.45119705340699817,1.0
0.975543,0.4530386740331492,1.0
0.97536,0.4548802946593002,1.0
0.973972,0.4567219152854512,1.0
0.973774,0.4585635359116022,1.0
0.973115,0.4604051565377532,1.0
0.972162,0.4622467771639042,1.0
0.972033,0.46408839779005523,1.0
0.970491,0.46593001841620624,1.0
0.970203,0.4677716390423573,1.0
0.969543,0.4696132596685083,1.0
0.969186,0.4714548802946593,1.0
0.967793,0.4732965009208103,1.0
0.967747,0.47513812154696133,1.0
0.967287,0.47697974217311234,1.0
0.967139,0.47882136279926335,1.0
0.96684,0.48066298342541436,1.0
0.965512,0.48250460405156537,1.0
0.963529,0.48250460405156537,0.9961977186311787
0.963292,0.4843462246777164,0.9962121212121212
0.962882,0.4861878453038674,0.9962264150943396
0.962309,0.4880294659300184,0.9962406015037594
0.961813,0.48987108655616945,0.9962546816479401
0.960583,0.49171270718232046,0.996268656716418
0.960141,0.49355432780847147,0.9962825278810409
0.960086,0.4953959484346225,0.9962962962962963
0.959961,0.4972375690607735,0.996309963099631
0.959023,0.4990791896869245,0.9963235294117647
0.957804,0.5009208103130756,0.9963369963369964
0.957473,0.5027624309392266,0.9963503649635036
0.957003,0.5046040515653776,0.9963636363636363
0.956976,0.5064456721915286,0.9963768115942029
0.956465,0.5082872928176796,0.9963898916967509
0.956207,0.5101289134438306,0.9964028776978417
0.954215,0.5119705340699816,0.996415770609319
0.953068,0.5138121546961326,0.9964285714285714
0.951511,0.5156537753222836,0.99644128113879
0.951409,0.5174953959484346,0.9964539007092199
0.951107,0.5193370165745856,0.9964664310954063
0.950854,0.5211786372007366,0.9964788732394366
0.950389,0.5230202578268877,0.9964912280701754
0.949669,0.5248618784530387,0.9965034965034965
0.947697,0.5267034990791897,0.9965156794425087
0.947209,0.5285451197053407,0.9965277777777778
0.946488,0.5303867403314917,0.9965397923875432
0.946328,0.5322283609576427,0.996551724137931
0.946157,0.5340699815837937,0.9965635738831615
0.944394,0.5359116022099447,0.9965753424657534
0.944208,0.5377532228360957,0.9965870307167235
0.943836,0.5395948434622467,0.9965986394557823
0.943624,0.5414364640883977,0.9966101694915255
0.942969,0.5432780847145487,0.9966216216216216
0.942479,0.5451197053406999,0.9966329966329966
0.942477,0.5469613259668509,0.9966442953020134
0.942208,0.5488029465930019,0.9966555183946488
0.941682,0.5506445672191529,0.9966666666666667
0.941115,0.5524861878453039,0.9966777408637874
0.941108,0.5543278084714549,0.9966887417218543
0.940348,0.5561694290976059,0.9966996699669967
0.940091,0.5580110497237569,0.9967105263157895
0.937399,0.5598526703499079,0.9967213114754099
0.93634,0.5616942909760589,0.9967320261437909
0.935554,0.56353591160221,0.996742671009772
0.934835,0.565377532228361,0.9967532467532467
0.934833,0.567219152854512,0.9967637540453075
0.934712,0.569060773480663,0.9967741935483871
0.934127,0.570902394106814,0.9967845659163987
0.933027,0.572744014732965,0.9967948717948718
0.931443,0.574585635359116,0.9968051118210862
0.931141,0.576427255985267,0.9968152866242038
0.930892,0.578268876611418,0.9968253968253968
0.929913,0.580110497237569,0.9968354430379747
0.929796,0.58195211786372,0.9968454258675079
0.926504,0.583793738489871,0.9968553459119497
0.926009,0.585635359116022,0.9968652037617555
0.925745,0.5874769797421732,0.996875
0.925581,0.5893186003683242,0.9968847352024922
0.924521,0.5911602209944752,0.9968944099378882
0.924247,0.5930018416206262,0.9969040247678018
0.924225,0.5948434622467772,0.9969135802469136
0.923892,0.5966850828729282,0.9969230769230769
0.923643,0.5985267034990792,0.9969325153374233
0.923605,0.6003683241252302,0.9969418960244648
0.923564,0.6022099447513812,0.9969512195121951
0.920459,0.6040515653775322,0.9969604863221885
0.918261,0.6058931860036832,0.996969696969697
0.916378,0.6077348066298343,0.9969788519637462
0.915427,0.6095764272559853,0.9969879518072289
0.913195,0.6114180478821363,0.996996996996997
0.91227,0.6132596685082873,0.9970059880239521
0.912099,0.6151012891344383,0.9970149253731343
0.912081,0.6169429097605893,0.9970238095238095
0.911942,0.6187845303867403,0.9970326409495549
0.911806,0.6206261510128913,0.9970414201183432
0.911161,0.6224677716390423,0.9970501474926253
0.910148,0.6243093922651933,0.9970588235294118
0.91004,0.6261510128913443,0.9970674486803519
0.909864,0.6279926335174953,0.9970760233918129
0.909079,0.6298342541436464,0.9970845481049563
0.908249,0.6316758747697975,0.997093023255814
0.907725,0.6335174953959485,0.9971014492753624
0.904002,0.6353591160220995,0.9971098265895953
0.90238,0.6372007366482505,0.9971181556195965
0.901914,0.6390423572744015,0.9971264367816092
0.901886,0.6408839779005525,0.997134670487106
0.901872,0.6427255985267035,0.9971428571428571
0.901522,0.6427255985267035,0.9943019943019943
0.896815,0.6445672191528545,0.9943181818181818
0.896573,0.6464088397790055,0.9943342776203966
0.893009,0.6464088397790055,0.9915254237288136
0.889681,0.6482504604051565,0.9915492957746479
0.88914,0.6500920810313076,0.9915730337078652
0.88843,0.6519337016574586,0.9915966386554622
0.88625,0.6537753222836096,0.9916201117318436
0.886127,0.6556169429097606,0.9916434540389972
0.884997,0.6574585635359116,0.9916666666666667
0.882185,0.6593001841620626,0.9916897506925207
0.881725,0.6611418047882136,0.9917127071823204
0.878506,0.6629834254143646,0.9917355371900827
0.87793,0.6648250460405156,0.9917582417582418
0.877301,0.6666666666666666,0.9917808219178083
0.876301,0.6685082872928176,0.9918032786885246
0.875678,0.6703499079189686,0.9918256130790191
0.875267,0.6721915285451197,0.9918478260869565
0.874761,0.6740331491712708,0.991869918699187
0.873102,0.6758747697974218,0.9918918918918919
0.869779,0.6758747697974218,0.9892183288409704
0.869076,0.6777163904235728,0.989247311827957
0.868778,0.6795580110497238,0.9892761394101877
0.868675,0.6813996316758748,0.9893048128342246
0.866527,0.6832412523020258,0.9893333333333333
0.866509,0.6850828729281768,0.9893617021276596
0.864399,0.6869244935543278,0.9893899204244032
0.864308,0.6887661141804788,0.9894179894179894
0.863095,0.6887661141804788,0.9868073878627969
0.860278,0.6906077348066298,0.9868421052631579
0.859287,0.6924493554327809,0.9868766404199475
0.858312,0.6942909760589319,0.9869109947643979
0.857763,0.6961325966850829,0.9869451697127938
0.857683,0.6961325966850829,0.984375
0.856237,0.6979742173112339,0.9844155844155844
