threshold,fpr,tpr
1.0,0.0,0.029465930018416207
0.999999,0.0,0.03867403314917127
0.999998,0.0,0.040515653775322284
0.999997,0.0,0.0423572744014733
0.999996,0.0,0.04604051565377532
0.999995,0.0,0.04788213627992634
0.999994,0.0,0.05156537753222836
0.999993,0.0,0.055248618784530384
0.999992,0.0,0.06261510128913444
0.999991,0.0,0.06445672191528545
0.99999,0.0,0.06998158379373849
0.999989,0.0,0.0718232044198895
0.999986,0.0,0.07366482504604052
0.999985,0.0,0.07550644567219153
0.999984,0.0,0.07918968692449356
0.999981,0.0,0.08287292817679558
0.99998,0.0,0.0865561694290976
0.999976,0.0,0.08839779005524862
0.999973,0.0,0.09208103130755065
0.999972,0.0,0.09392265193370165
0.999968,0.0,0.09576427255985268
0.999966,0.0,0.09760589318600368
0.999965,0.0,0.09944751381215469
0.999963,0.0,0.10128913443830571
0.999959,0.0,0.10313075506445672
0.999956,0.0,0.10497237569060773
0.999954,0.0,0.10681399631675875
0.999948,0.0,0.10865561694290976
0.999944,0.0,0.11049723756906077
0.999938,0.0,0.1141804788213628
0.999937,0.0,0.11602209944751381
0.999936,0.0,0.11786372007366483
0.999934,0.0,0.12154696132596685
0.999932,0.0,0.12338858195211787
0.99993,0.0,0.1252302025782689
0.999929,0.0,0.1270718232044199
0.999927,0.0,0.1289134438305709
0.999922,0.0,0.13075506445672191
0.999912,0.0,0.13259668508287292
0.999906,0.0,0.13443830570902393
0.999902,0.0,0.13627992633517497
0.999899,0.0,0.13812154696132597
0.999886,0.0,0.13996316758747698
0.999864,0.0,0.141804788213628
0.999858,0.0,0.143646408839779
0.999839,0.0,0.14548802946593
0.999831,0.0,0.14732965009208104
0.999823,0.0,0.14917127071823205
0.999812,0.0,0.15101289134438306
0.999806,0.0,0.15285451197053407
0.999804,0.0,0.15469613259668508
0.999783,0.0,0.15653775322283608
0.999772,0.0,0.15837937384898712
0.999769,0.0,0.16022099447513813
0.999766,0.0,0.16206261510128914
0.999757,0.0,0.16390423572744015
0.999753,0.0,0.16574585635359115
0.999743,0.0,0.16758747697974216
0.999715,0.0,0.1694290976058932
0.999709,0.0,0.1712707182320442
0.999675,0.0,0.1731123388581952
0.999659,0.0,0.17495395948434622
0.999624,0.0,0.17679558011049723
0.999609,0.0,0.17863720073664824
0.999606,0.0,0.18047882136279927
0.999591,0.0,0.18232044198895028
0.999572,0.0,0.1841620626151013
0.99955,0.0,0.1860036832412523
0.999506,0.0,0.1878453038674033
0.999498,0.0,0.18968692449355432
0.999449,0.0,0.19152854511970535
0.999433,0.0,0.19337016574585636
0.999416,0.0,0.19521178637200737
0.999371,0.0,0.19705340699815838
0.999326,0.0,0.19889502762430938
0.999253,0.0,0.2007366482504604
0.99922,0.0,0.20257826887661143
0.999217,0.0,0.20441988950276244
0.999112,0.0,0.20626151012891344
0.999097,0.0,0.20810313075506445
0.999093,0.0,0.20994475138121546
0.999065,0.0,0.21178637200736647
0.999056,0.0,0.2136279926335175
0.999014,0.0,0.2154696132596685
0.999007,0.0,0.21915285451197053
0.999003,0.0,0.22099447513812154
0.999001,0.0,0.22283609576427257
0.998928,0.0,0.22467771639042358
0.998851,0.0,0.2265193370165746
0.998789,0.0,0.2283609576427256
0.998739,0.0,0.2302025782688766
0.998696,0.0,0.23204419889502761
0.998608,0.0,0.23388581952117865
0.998536,0.0,0.23572744014732966
0.998519,0.0,0.23756906077348067
0.998495,0.0,0.23941068139963168
0.998369,0.0,0.24125230202578268
0.998353,0.0,0.2430939226519337
0.998306,0.0,0.24493554327808473
0.998285,0.0,0.24677716390423574
0.998278,0.0,0.24861878453038674
0.99827,0.0,0.2504604051565378
0.99826,0.0,0.2523020257826888
0.998237,0.0,0.2541436464088398
0.998207,0.0,0.2559852670349908
0.998196,0.0,0.2578268876611418
0.998162,0.0,0.2596685082872928
0.998057,0.0,0.26151012891344383
0.998019,0.0,0.26335174953959484
0.997999,0.0,0.26519337016574585
0.997962,0.0,0.26703499079189685
0.997888,0.0,0.26887661141804786
0.997864,0.0,0.27071823204419887
0.997829,0.0,0.27255985267034993
0.997673,0.0,0.27440147329650094
0.997666,0.0,0.27624309392265195
0.997652,0.0,0.27808471454880296
0.997633,0.0,0.27992633517495397
0.997626,0.0,0.281767955801105
0.997604,0.0,0.283609576427256
0.997473,0.0,0.285451197053407
0.997435,0.0,0.287292817679558
0.997395,0.0,0.289134438305709
0.996861,0.0,0.29097605893186
0.99681,0.0,0.292817679558011
0.996707,0.0,0.2946593001841621
0.996516,0.0,0.2965009208103131
0.996512,0.0,0.2983425414364641
0.996421,0.0,0.3001841620626151
0.996207,0.0,0.3020257826887661
0.995938,0.0,0.30386740331491713
0.99592,0.0,0.30570902394106814
0.995814,0.0,0.30755064456721914
0.995776,0.0,0.30939226519337015
0.995772,0.0,0.31123388581952116
0.995727,0.0,0.31307550644567217
0.995673,0.0,0.3149171270718232
